DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV,Timestamp,TIME_BIN,lat,lon,ele
4/25/19,13:11:50,4.76,8.17,18.15,50430.0,10.27,98.8,1.28,-53.6,8.26,32.32,32270,-0.2,2019-04-25 13:11:50,2019-04-25-13-11,42.404035991057754,-70.525072440505028,7.35
4/25/19,13:11:55,4.96,8.19,16.85,50400.0,10.25,99.1,1.04,-54.6,8.36,32.33,32250,-0.2,2019-04-25 13:11:55,2019-04-25-13-11,42.404035991057754,-70.525072440505028,7.35
4/25/19,13:12:00,5.34,8.2,14.61,50250.0,10.21,99.5,1.28,-55.4,8.41,32.27,32160,-0.3,2019-04-25 13:12:00,2019-04-25-13-12,42.406278820708394,-70.523915402591228,4.94
4/25/19,13:12:05,5.57,8.21,11.44,50190.0,10.18,99.8,1.29,-56.3,8.48,32.26,32120,-0.2,2019-04-25 13:12:05,2019-04-25-13-12,42.406278820708394,-70.523915402591228,4.94
4/25/19,13:12:10,5.88,8.22,8.56,50070.0,10.19,100.6,1.19,-56.9,8.39,32.21,32040,-0.3,2019-04-25 13:12:10,2019-04-25-13-12,42.406278820708394,-70.523915402591228,4.94
4/25/19,13:12:15,6.24,8.24,4.87,49920.0,10.22,101.7,1.21,-58.1,8.48,32.14,31940,-0.2,2019-04-25 13:12:15,2019-04-25-13-12,42.406278820708394,-70.523915402591228,4.94
4/25/19,13:12:20,6.99,8.25,1.63,49240.0,10.14,102.4,1.81,-58.9,8.09,31.74,31510,-0.2,2019-04-25 13:12:20,2019-04-25-13-12,42.406278820708394,-70.523915402591228,4.94
4/25/19,13:33:50,6.99,8.19,0.51,49650.0,9.24,93.5,0.51,-55.6,8.36,32.04,31780,-0.2,2019-04-25 13:33:50,2019-04-25-13-33,42.448510620743036,-70.500504327937961,6.39
4/25/19,13:33:55,6.96,8.2,0.65,49650.0,9.33,94.3,0.42,-56.1,8.29,32.03,31780,-0.2,2019-04-25 13:33:55,2019-04-25-13-33,42.448510620743036,-70.500504327937961,6.39
4/25/19,13:34:00,6.07,8.2,5.45,49810.0,9.7,96.1,0.52,-56,8.16,32.05,31880,-0.2,2019-04-25 13:34:00,2019-04-25-13-34,42.44940840639174,-70.500050112605095,4.94
4/25/19,13:34:05,5.57,8.2,10.39,49980.0,9.9,96.9,0.77,-55.9,8.19,32.11,31990,-0.2,2019-04-25 13:34:05,2019-04-25-13-34,42.44940840639174,-70.500050112605095,4.94
4/25/19,13:34:10,5.2,8.2,15.84,50190.0,10.02,97.3,0.65,-55.4,8.39,32.21,32120,-0.2,2019-04-25 13:34:10,2019-04-25-13-34,42.44940840639174,-70.500050112605095,4.94
4/25/19,13:34:15,4.79,8.18,20.96,50340.0,10.2,98.1,1.46,-54.3,8.23,32.26,32210,-0.2,2019-04-25 13:34:15,2019-04-25-13-34,42.44940840639174,-70.500050112605095,4.94
4/25/19,13:34:20,4.56,8.17,26.41,50490.0,10.3,98.6,1.32,-53.5,8.29,32.34,32310,-0.2,2019-04-25 13:34:20,2019-04-25-13-34,42.44940840639174,-70.500050112605095,4.94
4/25/19,13:34:25,4.34,8.16,27.58,50610.0,10.36,98.7,2.39,-53,8.31,32.39,32390,-0.2,2019-04-25 13:34:25,2019-04-25-13-34,42.44940840639174,-70.500050112605095,4.94
