EVENT_ID,STAT_ID,PROF_DATE_TIME_LOCAL,LATITUDE,LONGITUDE,DEPTH (m),SAMPLE_DEPTH_CODE,CONDTVY (mS/cm),DISS_OXYGEN (mg/L),FLU_RAW (ug/L),PCT_SAT (PCT),pH (),SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),VAL_QUAL,Data Source
 WN218,F22,2021-09-08 08:59:00,42.4811363220215,-70.617317199707,38.9726791381836,C,36.4418678283691,7.55838918685913,0.483640909194946,84.3866500854492,8.10568904876709,32.2563858032227,24.6120109558105,11.1644229888916,0.339508771896362,,MassBay_2020_to_2022_CONCAT
 WN218,F22,2021-09-08 09:00:14,42.4811401367188,-70.617317199707,19.3846950531006,B,41.6391220092773,8.03133869171143,2.39692544937134,101.999649047852,8.33470249176025,31.6654872894287,22.8086452484131,17.6375217437744,0.516597986221313,,MassBay_2020_to_2022_CONCAT
 WN218,F22,2021-09-08 09:01:12,42.4810600280762,-70.6172714233398,1.91083931922913,A,42.3780822753906,7.69309616088867,1.36472868919373,100.563499450684,8.32850360870361,30.974702835083,21.8578605651855,19.36328125,0.684979259967804,,MassBay_2020_to_2022_CONCAT
 WN218,N21,2021-09-08 09:44:00,42.3884963989258,-70.7848968505859,33.055850982666,E,36.453254699707,6.29780101776123,0.41075935959816,70.5532989501953,8.01770305633545,32.089771270752,24.4455432891846,11.3710908889771,0.780177891254425,,MassBay_2020_to_2022_CONCAT
 WN218,N21,2021-09-08 09:44:52,42.3885345458984,-70.7848968505859,24.5581512451172,D,36.2825241088867,6.47482824325562,0.506595730781555,72.9262542724609,7.96914005279541,31.5869197845459,23.9833335876465,11.767110824585,0.779943883419037,,MassBay_2020_to_2022_CONCAT
 WN218,N21,2021-09-08 09:45:49,42.3886528015137,-70.7848434448242,16.4786376953125,C,41.3963432312012,7.97627353668213,2.42074131965637,100.509895324707,8.28705596923828,31.8099155426025,23.0247077941895,17.1897716522217,0.511112332344055,,MassBay_2020_to_2022_CONCAT
 WN218,N21,2021-09-08 09:46:33,42.3887329101563,-70.7848281860352,9.49951648712158,B,42.1524505615234,8.05148506164551,2.2428412437439,103.859519958496,8.35253238677979,31.4171810150146,22.4043006896973,18.5242710113525,0.603658854961395,,MassBay_2020_to_2022_CONCAT
 WN218,N21,2021-09-08 09:47:12,42.3887367248535,-70.784797668457,2.00664043426514,A,41.9851417541504,7.71775913238525,1.87068593502045,100.444046020508,8.30485725402832,30.7808074951172,21.7530899047852,19.1917686462402,0.591873943805695,,MassBay_2020_to_2022_CONCAT
 WN218,N18,2021-09-08 10:08:04,42.3664741516113,-70.7775802612305,23.9165439605713,E,38.7040901184082,7.07720470428467,1.08907437324524,83.8068084716797,8.18468952178955,31.9614601135254,23.8328819274902,14.0416793823242,0.53574401140213,,MassBay_2020_to_2022_CONCAT
 WN218,N18,2021-09-08 10:09:11,42.3667182922363,-70.7775955200195,18.0579490661621,D,41.7358779907227,8.13777637481689,2.28473424911499,103.351333618164,8.34332084655762,31.7744941711426,22.9000625610352,17.6036567687988,0.510716021060944,,MassBay_2020_to_2022_CONCAT
 WN218,N18,2021-09-08 10:10:23,42.367057800293,-70.7775726318359,12.1384506225586,B,42.1679992675781,8.05905723571777,2.36651039123535,103.999862670898,8.35652828216553,31.4114570617676,22.3943176269531,18.5475807189941,0.589611232280731,,MassBay_2020_to_2022_CONCAT
 WN218,N18,2021-09-08 10:11:10,42.367301940918,-70.7775421142578,7.31638145446777,C,42.3162651062012,7.96674060821533,1.42163240909576,103.167953491211,8.35861110687256,31.3922939300537,22.3329219818115,18.736701965332,0.536189794540405,,MassBay_2020_to_2022_CONCAT
 WN218,N18,2021-09-08 10:11:44,42.3674354553223,-70.7775497436523,2.14308476448059,A,42.4281349182129,7.82448148727417,1.15179240703583,102.050422668457,8.35562896728516,31.1443386077881,22.0306301116943,19.1903743743896,0.58205372095108,,MassBay_2020_to_2022_CONCAT
 WN218,N07,2021-09-08 10:33:52,42.3571586608887,-70.7060623168945,48.8583908081055,E,35.4801216125488,6.30948925018311,0.330991387367249,68.6884841918945,7.99119710922241,32.332447052002,24.8727207183838,9.98906898498535,0.968082249164581,,MassBay_2020_to_2022_CONCAT
 WN218,N07,2021-09-08 10:34:59,42.3571166992188,-70.7061386108398,35.0416679382324,D,35.7046775817871,6.85789012908936,0.357389450073242,75.1060485839844,8.02613925933838,32.3200187683105,24.8170146942139,10.2636318206787,0.460029542446136,,MassBay_2020_to_2022_CONCAT
 WN218,N07,2021-09-08 10:36:27,42.3572311401367,-70.7061614990234,25.429105758667,B,38.0120162963867,7.7609281539917,1.699098944664,90.2012405395508,8.14608478546143,32.1089477539063,24.1364250183105,13.09681224823,0.424332559108734,,MassBay_2020_to_2022_CONCAT
 WN218,N07,2021-09-08 10:37:40,42.3572540283203,-70.706184387207,13.7583951950073,C,42.0177230834961,7.99587535858154,3.33922123908997,102.531509399414,8.34233665466309,31.5796604156494,22.6165733337402,18.1633949279785,0.605758845806122,,MassBay_2020_to_2022_CONCAT
 WN218,N07,2021-09-08 10:38:35,42.357421875,-70.7062835693359,1.97470676898956,A,42.393913269043,7.93084239959717,0.897688686847687,102.968162536621,8.35608863830566,31.3440437316895,22.2585296630859,18.8874683380127,0.57076621055603,,MassBay_2020_to_2022_CONCAT
 WN218,F15,2021-09-08 11:00:29,42.316650390625,-70.7278289794922,36.6123237609863,E,35.8068695068359,6.26905822753906,0.376901030540466,68.8694763183594,7.97470569610596,32.2891845703125,24.7677917480469,10.4130086898804,1.38138484954834,,MassBay_2020_to_2022_CONCAT
 WN218,F15,2021-09-08 11:01:29,42.3169364929199,-70.7277984619141,27.3278026580811,D,36.9903030395508,7.02309703826904,0.754220843315125,79.6921539306641,8.04544258117676,32.1012344360352,24.3463668823242,11.9642858505249,0.424386560916901,,MassBay_2020_to_2022_CONCAT
 WN218,F15,2021-09-08 11:02:35,42.317138671875,-70.7277984619141,19.1524429321289,C,40.6009674072266,8.42821311950684,2.46751165390015,104.039291381836,8.28231239318848,31.9974975585938,23.421558380127,16.0858612060547,0.468688637018204,,MassBay_2020_to_2022_CONCAT
 WN218,F15,2021-09-08 11:03:50,42.3172378540039,-70.7277679443359,10.1120719909668,B,41.630859375,8.37217140197754,1.75763356685638,106.1376953125,8.34761142730713,31.7557373046875,22.9059562683105,17.5169792175293,0.494505316019058,,MassBay_2020_to_2022_CONCAT
