EVENT_ID,STAT_ID,PROF_DATE_TIME_LOCAL,LATITUDE,LONGITUDE,DEPTH (m),SAMPLE_DEPTH_CODE,CONDTVY (mS/cm),DISS_OXYGEN (mg/L),FLU_RAW (ug/L),PCT_SAT (PCT),pH (),SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),VAL_QUAL,Data Source,Air Irradiance,Water Irradiance,Station_D,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate
Inner Harbor,H2,2018-09-27 14:02:00-0400,42.3676987,-71.0477727,15.24390244,,,,,,,29.9,,17.9,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,2078.011962890625,1968.594482421875,17.899999618530273,25.2439022064209,7.798340401142235,725.3008116629418,727.8348050994498,1850.00513083182,92.9408633412942,25.648506621892302,40.33716319438309,1.8040690560030928,0.0,0.0,14.660329419876737,2.287784144546873,1.4617483208779625,742.6105066465974,N
Inner Harbor,H2,2018-09-27 14:06:00-0400,42.3676987,-71.0477727,1.0,,,,,,,23.9,,19.1,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,1823.859130859375,1741.4122314453125,19.100000381469727,11.0,7.801445116623541,669.4198372965034,671.7236945306364,1644.0284870438652,73.75173991943191,23.631985177561145,30.55352973774147,1.7897663352905857,0.0,0.0,15.718725260371237,1.8963690363897936,1.1854788741498052,686.4979633639659,N
Charles,C2,2018-09-27 14:11:00-0400,42.3699199,-71.0564037,12.07317073,,,,,,,29.7,,18.3,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,2088.631103515625,2000.4412841796875,18.299999237060547,22.073171615600582,7.730292396161525,869.1289486625193,872.1502294518137,1888.0449495666576,81.98105168365278,30.415307814316137,35.04799849121232,1.5949644379111847,0.0,0.0,15.570482346231612,2.022963554535571,1.2929011722324188,890.3179580184359,N
Charles,C2,2018-09-27 14:16:00-0400,42.3699199,-71.0564037,1.0,,,,,,,18.3,,19.3,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,1461.1326904296875,1452.9765625,19.299999237060547,11.0,7.572091371912532,1007.7581123616952,1011.2177300473012,1385.8132034790087,30.69620721453796,36.467194230059214,13.024137498786514,0.9301391164417132,0.0,0.0,18.92032109238173,0.8211142080935333,0.497464409339946,1033.814509779536,N
Mystic,M2,2018-09-27 15:17:00-0400,42.3737104,-71.0463438,15.24390244,,,,,,,29.7,,18.6,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,2082.75390625,1962.4798583984373,18.600000381469727,25.2439022064209,7.820878677204648,688.3370335299708,690.720862425749,1839.009119483189,99.5886704702628,23.8821124779172,42.561603753637705,2.0212687061415804,0.0,0.0,14.204944816468414,2.457421549818548,1.571762595317446,705.3882382330249,N
Mystic,M2,2018-09-27 15:26:00-0400,42.3737104,-71.0463438,1.0,,,,,,,23.8,,19.5,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,1820.931884765625,1724.7308349609375,19.5,11.0,7.845245575943172,599.2189585684473,601.2709383220125,1622.2637795305343,81.54150435161695,20.925543963481445,33.55093061387511,2.04873819080392,0.0,0.0,14.978473329475063,2.1003483802696654,1.3135984811090524,614.8375284792336,N
WN189026,F13,2018-10-23 09:37:00-0400,42.26942444,-70.73580933,24.56872368,E,37.48090363,8.338972092,3.487300396,96.31758881,8.039678574,31.77663231,23.9180069,12.8979969,1.037662864,,MassBay_2017_to_2022,240.6890411,0.761334538,,,,,,,,,,,,,,,,,,,,
WN189027,F13,2018-10-23 09:38:00-0400,42.26962662,-70.73607635,20.45272446,20,37.47577667,8.344056129,3.540542603,96.36899567,8.036112785,31.77642441,23.91843033,12.89443398,1.040718794,,MassBay_2017_to_2022,249.5934753,1.120809793,,,,,,,,,,,,,,,,,,,,
WN189028,F13,2018-10-23 09:39:00-0400,42.26984024,-70.73603058,15.30102348,D,37.46895218,8.352661133,3.721842527,96.45835876,8.033982277,31.77607346,23.91896629,12.88959789,1.040094256,,MassBay_2017_to_2022,257.0818787,2.996297359,,,,,,,,,,,,,,,,,,,,
WN189029,F13,2018-10-23 09:40:00-0400,42.26992798,-70.7359848,9.503670692,10,37.46598434,8.352626801,3.787611485,96.45640564,8.034462929,31.77623558,23.9190979,12.88879871,1.03978157,,MassBay_2017_to_2022,265.6430664,13.6665163,,,,,,,,,,,,,,,,,,,,
